time,open,high,low,close
1279411200,0.05941,0.08585,0.05941,0.08584
1279497600,0.0909,0.09307,0.07890538,0.0808
1279584000,0.08181,0.08181,0.07426,0.07473333
1279670400,0.07425,0.07921,0.06634,0.07921
1279756800,0.07921,0.0808,0.05446,0.054955
1279843200,0.0505,0.06767,0.0505,0.06241388
1279929600,0.06161,0.06161,0.05081677,0.05454
1280016000,0.05545,0.05941,0.0505,0.0505
1280102400,0.05,0.056,0.05,0.056
1280188800,0.0544875,0.05976298,0.0544875,0.05976298
1280275200,0.06,0.06147387,0.054,0.0589
1280361600,0.0597,0.0699,0.0571,0.06986257
1280448000,0.0698,0.0698,0.06,0.06346087
1280534400,0.06016324,0.06889,0.056,0.06785
1280620800,0.06011837,0.065,0.06,0.0611
1280707200,0.06262195,0.0633,0.06010568,0.06010568
1280793600,0.06,0.065,0.059,0.06
1280880000,0.0622959,0.0623,0.05728249,0.05728249
1280966400,0.0581,0.061,0.058,0.061
1281052800,0.06233333,0.0624,0.0607,0.06215714
1281139200,0.0608,0.0622,0.059,0.059
1281225600,0.059,0.0609,0.059,0.0609
1281312000,0.05952739,0.07176087,0.05952739,0.0707
1281398400,0.068,0.0709,0.06684251,0.07
1281484800,0.06,0.07541,0.06,0.067
1281571200,0.068,0.07,0.06395362,0.07
1281657600,0.06529438,0.06791389,0.0645,0.0645
1281744000,0.0655,0.06904602,0.06499996,0.067
1281830400,0.067,0.067,0.065,0.06529
1281916800,0.06319,0.0679,0.062275,0.0655
1282003200,0.0655,0.07638,0.06243,0.07
1282089600,0.07111775,0.0733,0.067,0.068
1282176000,0.06789998,0.06789998,0.0667,0.0667
1282262400,0.0667,0.0667,0.065,0.0655
1282348800,0.065496,0.06670549,0.0644,0.0664
1282435200,0.06470633,0.066,0.0612,0.066
1282521600,0.06525,0.06689,0.06409,0.06491
1282608000,0.06491,0.0665,0.06491,0.065
1282694400,0.06636748,0.06646416,0.0641,0.0648
1282780800,0.064804,0.06579835,0.064,0.064
1282867200,0.064,0.065,0.063,0.065
1282953600,0.06479855,0.06495301,0.0645,0.06459825
1283040000,0.0647,0.0647,0.064,0.064
1283126400,0.0646,0.06511738,0.03211,0.06497
1283212800,0.06411,0.06456398,0.06,0.06
1283299200,0.062,0.06227781,0.05961,0.06227781
1283385600,0.061,0.06313602,0.0601,0.06313602
1283472000,0.061,0.063,0.06085,0.06085
1283558400,0.06125,0.06238,0.0612,0.06238
1283644800,0.06245,0.06316285,0.06076317,0.06163975
1283731200,0.0627,0.0627,0.0616,0.0616
1283817600,0.0616,0.062,0.0603,0.06114682
1283904000,0.061,0.06126644,0.061,0.06126644
1283990400,0.0611,0.0624,0.06109,0.06111
1284076800,0.061,0.0618,0.06014,0.0618
1284163200,0.0619,0.06448834,0.0619,0.06366
1284249600,0.06162289,0.0621,0.0615,0.0615
1284336000,0.06199063,0.064,0.0608,0.06218242
1284422400,0.062,0.175,0.0610051,0.06199
1284508800,0.0625,0.0625,0.0604,0.0604
1284595200,0.06187479,0.06187479,0.06187479,0.06187479
1284681600,0.06089,0.0609,0.05979769,0.05979769
1284768000,0.059,0.061,0.05812714,0.061
1284854400,0.06091,0.0627,0.06,0.0627
1284940800,0.062025,0.06338125,0.062,0.0621
1285027200,0.06309958,0.0633,0.0623,0.06265
1285113600,0.06230075,0.06230075,0.06148457,0.06200081
1285200000,0.0621,0.06289997,0.0615932,0.06231
1285286400,0.06209,0.0623723,0.06209,0.0622
1285372800,0.062215,0.06236,0.061724,0.06202
1285459200,0.06204,0.06220953,0.06186,0.06202171
1285545600,0.06200536,0.06228,0.06195,0.06220093
1285632000,0.06196,0.0621705,0.06171,0.06190867
1285718400,0.062,0.062,0.06151504,0.06190043
1285804800,0.06174,0.0619,0.06158559,0.0619
1285891200,0.06189,0.062,0.06189,0.06197
1285977600,0.06188,0.06189,0.06129,0.0614
1286064000,0.06139993,0.0614,0.06100278,0.06111
1286150400,0.06136169,0.06191,0.06084,0.06129983
1286236800,0.06139937,0.06299152,0.06094774,0.0614
1286323200,0.06148946,0.06349147,0.06148946,0.06281139
1286409600,0.06309837,0.067,0.06281185,0.067
1286496000,0.067,0.08799161,0.01,0.08356426
1286582400,0.08319263,0.102,0.0700071,0.0938
1286668800,0.093,0.1301,0.08281871,0.0965
1286755200,0.091,0.10043667,0.091,0.095
1286841600,0.094,0.0979989,0.083005,0.0949
1286928000,0.092,0.105,0.092,0.105
1287014400,0.1045,0.1045,0.09781739,0.102
1287100800,0.1,0.1171692,0.09508294,0.105
1287187200,0.1,0.10299,0.1,0.101
1287273600,0.102,0.1045,0.10001,0.102
1287360000,0.103,0.103,0.09968111,0.1024
1287446400,0.1,0.1018,0.09706246,0.09706246
1287532800,0.0985,0.10180516,0.094,0.099
1287619200,0.0972,0.107,0.0971,0.107
1287705600,0.1015,0.109,0.1015,0.10378125
1287792000,0.10892846,0.109,0.104995,0.104995
1287878400,0.108,0.19,0.108,0.11501
1287964800,0.10499663,0.1707151,0.09009,0.132
1288051200,0.133,0.179,0.133,0.1503
1288137600,0.151,0.19,0.151,0.1877
1288224000,0.1845,0.19004863,0.1731,0.1731
1288310400,0.17991525,0.19,0.173,0.19
1288396800,0.1875438,0.1989,0.1875438,0.1989
1288483200,0.194,0.1989,0.189,0.1925
1288569600,0.1925,0.1951,0.17493601,0.19490179
1288656000,0.192,0.1938,0.1905,0.1938
1288742400,0.19389309,0.26425961,0.13,0.1931
1288828800,0.19889482,0.23601,0.1934,0.23
1288915200,0.2101,0.26039,0.2101,0.26039
1289001600,0.262,0.49,0.24031,0.38
1289088000,0.43436256,0.4399,0.3002,0.34
1289174400,0.3459,0.36796109,0.24243853,0.243
1289260800,0.251,0.32297265,0.2,0.21568652
1289347200,0.21000625,0.235271,0.14045455,0.23266833
